"crim";"lstat";"rad";"tax";"high_crim_rate"
"1";0.00632;4.98;1;296;FALSE
"2";0.02731;9.14;2;242;FALSE
"3";0.02729;4.03;2;242;FALSE
"4";0.03237;2.94;3;222;FALSE
"5";0.06905;5.33;3;222;FALSE
"6";0.02985;5.21;3;222;FALSE
"7";0.08829;12.43;5;311;FALSE
"8";0.14455;19.15;5;311;FALSE
"9";0.21124;29.93;5;311;FALSE
"10";0.17004;17.1;5;311;FALSE
"11";0.22489;20.45;5;311;FALSE
"12";0.11747;13.27;5;311;FALSE
"13";0.09378;15.71;5;311;FALSE
"14";0.62976;8.26;4;307;TRUE
"15";0.63796;10.26;4;307;TRUE
"16";0.62739;8.47;4;307;TRUE
"17";1.05393;6.58;4;307;TRUE
"18";0.7842;14.67;4;307;TRUE
"19";0.80271;11.69;4;307;TRUE
"20";0.7258;11.28;4;307;TRUE
"21";1.25179;21.02;4;307;TRUE
"22";0.85204;13.83;4;307;TRUE
"23";1.23247;18.72;4;307;TRUE
"24";0.98843;19.88;4;307;TRUE
"25";0.75026;16.3;4;307;TRUE
"26";0.84054;16.51;4;307;TRUE
"27";0.67191;14.81;4;307;TRUE
"28";0.95577;17.28;4;307;TRUE
"29";0.77299;12.8;4;307;TRUE
"30";1.00245;11.98;4;307;TRUE
"31";1.13081;22.6;4;307;TRUE
"32";1.35472;13.04;4;307;TRUE
"33";1.38799;27.71;4;307;TRUE
"34";1.15172;18.35;4;307;TRUE
"35";1.61282;20.34;4;307;TRUE
"36";0.06417;9.68;5;279;FALSE
"37";0.09744;11.41;5;279;FALSE
"38";0.08014;8.77;5;279;FALSE
"39";0.17505;10.13;5;279;FALSE
"40";0.02763;4.32;3;252;FALSE
"41";0.03359;1.98;3;252;FALSE
"42";0.12744;4.84;3;233;FALSE
"43";0.1415;5.81;3;233;FALSE
"44";0.15936;7.44;3;233;FALSE
"45";0.12269;9.55;3;233;FALSE
"46";0.17142;10.21;3;233;FALSE
"47";0.18836;14.15;3;233;FALSE
"48";0.22927;18.8;3;233;FALSE
"49";0.25387;30.81;3;233;FALSE
"50";0.21977;16.2;3;233;FALSE
"51";0.08873;13.45;4;243;FALSE
"52";0.04337;9.43;4;243;FALSE
"53";0.0536;5.28;4;243;FALSE
"54";0.04981;8.43;4;243;FALSE
"55";0.0136;14.8;3;469;FALSE
"56";0.01311;4.81;5;226;FALSE
"57";0.02055;5.77;2;313;FALSE
"58";0.01432;3.95;5;256;FALSE
"59";0.15445;6.86;8;284;FALSE
"60";0.10328;9.22;8;284;FALSE
"61";0.14932;13.15;8;284;FALSE
"62";0.17171;14.44;8;284;FALSE
"63";0.11027;6.73;8;284;FALSE
"64";0.1265;9.5;8;284;FALSE
"65";0.01951;8.05;3;216;FALSE
"66";0.03584;4.67;4;337;FALSE
"67";0.04379;10.24;4;337;FALSE
"68";0.05789;8.1;4;345;FALSE
"69";0.13554;13.09;4;345;FALSE
"70";0.12816;8.79;4;345;FALSE
"71";0.08826;6.72;4;305;FALSE
"72";0.15876;9.88;4;305;FALSE
"73";0.09164;5.52;4;305;FALSE
"74";0.19539;7.54;4;305;FALSE
"75";0.07896;6.78;5;398;FALSE
"76";0.09512;8.94;5;398;FALSE
"77";0.10153;11.97;5;398;FALSE
"78";0.08707;10.27;5;398;FALSE
"79";0.05646;12.34;5;398;FALSE
"80";0.08387;9.1;5;398;FALSE
"81";0.04113;5.29;4;281;FALSE
"82";0.04462;7.22;4;281;FALSE
"83";0.03659;6.72;4;281;FALSE
"84";0.03551;7.51;4;281;FALSE
"85";0.05059;9.62;3;247;FALSE
"86";0.05735;6.53;3;247;FALSE
"87";0.05188;12.86;3;247;FALSE
"88";0.07151;8.44;3;247;FALSE
"89";0.0566;5.5;2;270;FALSE
"90";0.05302;5.7;2;270;FALSE
"91";0.04684;8.81;2;270;FALSE
"92";0.03932;8.2;2;270;FALSE
"93";0.04203;8.16;4;270;FALSE
"94";0.02875;6.21;4;270;FALSE
"95";0.04294;10.59;4;270;FALSE
"96";0.12204;6.65;2;276;FALSE
"97";0.11504;11.34;2;276;FALSE
"98";0.12083;4.21;2;276;FALSE
"99";0.08187;3.57;2;276;FALSE
"100";0.0686;6.19;2;276;FALSE
"101";0.14866;9.42;5;384;FALSE
"102";0.11432;7.67;5;384;FALSE
"103";0.22876;10.63;5;384;FALSE
"104";0.21161;13.44;5;384;FALSE
"105";0.1396;12.33;5;384;FALSE
"106";0.13262;16.47;5;384;FALSE
"107";0.1712;18.66;5;384;FALSE
"108";0.13117;14.09;5;384;FALSE
"109";0.12802;12.27;5;384;FALSE
"110";0.26363;15.55;5;384;FALSE
"111";0.10793;13;5;384;FALSE
"112";0.10084;10.16;6;432;FALSE
"113";0.12329;16.21;6;432;FALSE
"114";0.22212;17.09;6;432;FALSE
"115";0.14231;10.45;6;432;FALSE
"116";0.17134;15.76;6;432;FALSE
"117";0.13158;12.04;6;432;FALSE
"118";0.15098;10.3;6;432;FALSE
"119";0.13058;15.37;6;432;FALSE
"120";0.14476;13.61;6;432;FALSE
"121";0.06899;14.37;2;188;FALSE
"122";0.07165;14.27;2;188;FALSE
"123";0.09299;17.93;2;188;FALSE
"124";0.15038;25.41;2;188;FALSE
"125";0.09849;17.58;2;188;FALSE
"126";0.16902;14.81;2;188;FALSE
"127";0.38735;27.26;2;188;FALSE
"128";0.25915;17.19;4;437;FALSE
"129";0.32543;15.39;4;437;FALSE
"130";0.88125;18.34;4;437;TRUE
"131";0.34006;12.6;4;437;FALSE
"132";1.19294;12.26;4;437;TRUE
"133";0.59005;11.12;4;437;TRUE
"134";0.32982;15.03;4;437;FALSE
"135";0.97617;17.31;4;437;TRUE
"136";0.55778;16.96;4;437;TRUE
"137";0.32264;16.9;4;437;FALSE
"138";0.35233;14.59;4;437;FALSE
"139";0.2498;21.32;4;437;FALSE
"140";0.54452;18.46;4;437;TRUE
"141";0.2909;24.16;4;437;FALSE
"142";1.62864;34.41;4;437;TRUE
"143";3.32105;26.82;5;403;TRUE
"144";4.0974;26.42;5;403;TRUE
"145";2.77974;29.29;5;403;TRUE
"146";2.37934;27.8;5;403;TRUE
"147";2.15505;16.65;5;403;TRUE
"148";2.36862;29.53;5;403;TRUE
"149";2.33099;28.32;5;403;TRUE
"150";2.73397;21.45;5;403;TRUE
"151";1.6566;14.1;5;403;TRUE
"152";1.49632;13.28;5;403;TRUE
"153";1.12658;12.12;5;403;TRUE
"154";2.14918;15.79;5;403;TRUE
"155";1.41385;15.12;5;403;TRUE
"156";3.53501;15.02;5;403;TRUE
"157";2.44668;16.14;5;403;TRUE
"158";1.22358;4.59;5;403;TRUE
"159";1.34284;6.43;5;403;TRUE
"160";1.42502;7.39;5;403;TRUE
"161";1.27346;5.5;5;403;TRUE
"162";1.46336;1.73;5;403;TRUE
"163";1.83377;1.92;5;403;TRUE
"164";1.51902;3.32;5;403;TRUE
"165";2.24236;11.64;5;403;TRUE
"166";2.924;9.81;5;403;TRUE
"167";2.01019;3.7;5;403;TRUE
"168";1.80028;12.14;5;403;TRUE
"169";2.3004;11.1;5;403;TRUE
"170";2.44953;11.32;5;403;TRUE
"171";1.20742;14.43;5;403;TRUE
"172";2.3139;12.03;5;403;TRUE
"173";0.13914;14.69;5;296;FALSE
"174";0.09178;9.04;5;296;FALSE
"175";0.08447;9.64;5;296;FALSE
"176";0.06664;5.33;5;296;FALSE
"177";0.07022;10.11;5;296;FALSE
"178";0.05425;6.29;5;296;FALSE
"179";0.06642;6.92;5;296;FALSE
"180";0.0578;5.04;3;193;FALSE
"181";0.06588;7.56;3;193;FALSE
"182";0.06888;9.45;3;193;FALSE
"183";0.09103;4.82;3;193;FALSE
"184";0.10008;5.68;3;193;FALSE
"185";0.08308;13.98;3;193;FALSE
"186";0.06047;13.15;3;193;FALSE
"187";0.05602;4.45;3;193;FALSE
"188";0.07875;6.68;5;398;FALSE
"189";0.12579;4.56;5;398;FALSE
"190";0.0837;5.39;5;398;FALSE
"191";0.09068;5.1;5;398;FALSE
"192";0.06911;4.69;5;398;FALSE
"193";0.08664;2.87;5;398;FALSE
"194";0.02187;5.03;1;265;FALSE
"195";0.01439;4.38;1;265;FALSE
"196";0.01381;2.97;4;255;FALSE
"197";0.04011;4.08;2;329;FALSE
"198";0.04666;8.61;2;329;FALSE
"199";0.03768;6.62;2;329;FALSE
"200";0.0315;4.56;3;402;FALSE
"201";0.01778;4.45;3;402;FALSE
"202";0.03445;7.43;2;348;FALSE
"203";0.02177;3.11;2;348;FALSE
"204";0.0351;3.81;4;224;FALSE
"205";0.02009;2.88;4;224;FALSE
"206";0.13642;10.87;4;277;FALSE
"207";0.22969;10.97;4;277;FALSE
"208";0.25199;18.06;4;277;FALSE
"209";0.13587;14.66;4;277;FALSE
"210";0.43571;23.09;4;277;FALSE
"211";0.17446;17.27;4;277;FALSE
"212";0.37578;23.98;4;277;FALSE
"213";0.21719;16.03;4;277;FALSE
"214";0.14052;9.38;4;277;FALSE
"215";0.28955;29.55;4;277;FALSE
"216";0.19802;9.47;4;277;FALSE
"217";0.0456;13.51;5;276;FALSE
"218";0.07013;9.69;5;276;FALSE
"219";0.11069;17.92;5;276;FALSE
"220";0.11425;10.5;5;276;FALSE
"221";0.35809;9.71;8;307;FALSE
"222";0.40771;21.46;8;307;FALSE
"223";0.62356;9.93;8;307;TRUE
"224";0.6147;7.6;8;307;TRUE
"225";0.31533;4.14;8;307;FALSE
"226";0.52693;4.63;8;307;TRUE
"227";0.38214;3.13;8;307;FALSE
"228";0.41238;6.36;8;307;FALSE
"229";0.29819;3.92;8;307;FALSE
"230";0.44178;3.76;8;307;FALSE
"231";0.537;11.65;8;307;TRUE
"232";0.46296;5.25;8;307;FALSE
"233";0.57529;2.47;8;307;TRUE
"234";0.33147;3.95;8;307;FALSE
"235";0.44791;8.05;8;307;FALSE
"236";0.33045;10.88;8;307;FALSE
"237";0.52058;9.54;8;307;TRUE
"238";0.51183;4.73;8;307;TRUE
"239";0.08244;6.36;6;300;FALSE
"240";0.09252;7.37;6;300;FALSE
"241";0.11329;11.38;6;300;FALSE
"242";0.10612;12.4;6;300;FALSE
"243";0.1029;11.22;6;300;FALSE
"244";0.12757;5.19;6;300;FALSE
"245";0.20608;12.5;7;330;FALSE
"246";0.19133;18.46;7;330;FALSE
"247";0.33983;9.16;7;330;FALSE
"248";0.19657;10.15;7;330;FALSE
"249";0.16439;9.52;7;330;FALSE
"250";0.19073;6.56;7;330;FALSE
"251";0.1403;5.9;7;330;FALSE
"252";0.21409;3.59;7;330;FALSE
"253";0.08221;3.53;7;330;FALSE
"254";0.36894;3.54;7;330;FALSE
"255";0.04819;6.57;1;315;FALSE
"256";0.03548;9.25;1;315;FALSE
"257";0.01538;3.11;3;244;FALSE
"258";0.61154;5.12;5;264;TRUE
"259";0.66351;7.79;5;264;TRUE
"260";0.65665;6.9;5;264;TRUE
"261";0.54011;9.59;5;264;TRUE
"262";0.53412;7.26;5;264;TRUE
"263";0.52014;5.91;5;264;TRUE
"264";0.82526;11.25;5;264;TRUE
"265";0.55007;8.1;5;264;TRUE
"266";0.76162;10.45;5;264;TRUE
"267";0.7857;14.79;5;264;TRUE
"268";0.57834;7.44;5;264;TRUE
"269";0.5405;3.16;5;264;TRUE
"270";0.09065;13.65;3;223;FALSE
"271";0.29916;13;3;223;FALSE
"272";0.16211;6.59;3;223;FALSE
"273";0.1146;7.73;3;223;FALSE
"274";0.22188;6.58;3;223;FALSE
"275";0.05644;3.53;4;254;FALSE
"276";0.09604;2.98;4;254;FALSE
"277";0.10469;6.05;4;254;FALSE
"278";0.06127;4.16;4;254;FALSE
"279";0.07978;7.19;4;254;FALSE
"280";0.21038;4.85;5;216;FALSE
"281";0.03578;3.76;5;216;FALSE
"282";0.03705;4.59;5;216;FALSE
"283";0.06129;3.01;5;216;FALSE
"284";0.01501;3.16;1;198;FALSE
"285";0.00906;7.85;1;285;FALSE
"286";0.01096;8.23;1;300;FALSE
"287";0.01965;12.93;1;241;FALSE
"288";0.03871;7.14;6;293;FALSE
"289";0.0459;7.6;6;293;FALSE
"290";0.04297;9.51;6;293;FALSE
"291";0.03502;3.33;4;245;FALSE
"292";0.07886;3.56;4;245;FALSE
"293";0.03615;4.7;4;245;FALSE
"294";0.08265;8.58;4;289;FALSE
"295";0.08199;10.4;4;289;FALSE
"296";0.12932;6.27;4;289;FALSE
"297";0.05372;7.39;4;289;FALSE
"298";0.14103;15.84;4;289;FALSE
"299";0.06466;4.97;5;358;FALSE
"300";0.05561;4.74;5;358;FALSE
"301";0.04417;6.07;5;358;FALSE
"302";0.03537;9.5;7;329;FALSE
"303";0.09266;8.67;7;329;FALSE
"304";0.1;4.86;7;329;FALSE
"305";0.05515;6.93;7;222;FALSE
"306";0.05479;8.93;7;222;FALSE
"307";0.07503;6.47;7;222;FALSE
"308";0.04932;7.53;7;222;FALSE
"309";0.49298;4.54;4;304;FALSE
"310";0.3494;9.97;4;304;FALSE
"311";2.63548;12.64;4;304;TRUE
"312";0.79041;5.98;4;304;TRUE
"313";0.26169;11.72;4;304;FALSE
"314";0.26938;7.9;4;304;FALSE
"315";0.3692;9.28;4;304;FALSE
"316";0.25356;11.5;4;304;FALSE
"317";0.31827;18.33;4;304;FALSE
"318";0.24522;15.94;4;304;FALSE
"319";0.40202;10.36;4;304;FALSE
"320";0.47547;12.73;4;304;FALSE
"321";0.1676;7.2;5;287;FALSE
"322";0.18159;6.87;5;287;FALSE
"323";0.35114;7.7;5;287;FALSE
"324";0.28392;11.74;5;287;FALSE
"325";0.34109;6.12;5;287;FALSE
"326";0.19186;5.08;5;287;FALSE
"327";0.30347;6.15;5;287;FALSE
"328";0.24103;12.79;5;287;FALSE
"329";0.06617;9.97;4;430;FALSE
"330";0.06724;7.34;4;430;FALSE
"331";0.04544;9.09;4;430;FALSE
"332";0.05023;12.43;1;304;FALSE
"333";0.03466;7.83;1;304;FALSE
"334";0.05083;5.68;5;224;FALSE
"335";0.03738;6.75;5;224;FALSE
"336";0.03961;8.01;5;224;FALSE
"337";0.03427;9.8;5;224;FALSE
"338";0.03041;10.56;5;224;FALSE
"339";0.03306;8.51;5;224;FALSE
"340";0.05497;9.74;5;224;FALSE
"341";0.06151;9.29;5;224;FALSE
"342";0.01301;5.49;1;284;FALSE
"343";0.02498;8.65;1;422;FALSE
"344";0.02543;7.18;5;370;FALSE
"345";0.03049;4.61;5;370;FALSE
"346";0.03113;10.53;3;352;FALSE
"347";0.06162;12.67;3;352;FALSE
"348";0.0187;6.36;4;351;FALSE
"349";0.01501;5.99;4;280;FALSE
"350";0.02899;5.89;1;335;FALSE
"351";0.06211;5.98;1;335;FALSE
"352";0.0795;5.49;4;411;FALSE
"353";0.07244;7.79;4;411;FALSE
"354";0.01709;4.5;5;187;FALSE
"355";0.04301;8.05;4;334;FALSE
"356";0.10659;5.57;4;334;FALSE
"357";8.98296;17.6;24;666;TRUE
"358";3.8497;13.27;24;666;TRUE
"359";5.20177;11.48;24;666;TRUE
"360";4.26131;12.67;24;666;TRUE
"361";4.54192;7.79;24;666;TRUE
"362";3.83684;14.19;24;666;TRUE
"363";3.67822;10.19;24;666;TRUE
"364";4.22239;14.64;24;666;TRUE
"365";3.47428;5.29;24;666;TRUE
"366";4.55587;7.12;24;666;TRUE
"367";3.69695;14;24;666;TRUE
"368";13.5222;13.33;24;666;TRUE
"369";4.89822;3.26;24;666;TRUE
"370";5.66998;3.73;24;666;TRUE
"371";6.53876;2.96;24;666;TRUE
"372";9.2323;9.53;24;666;TRUE
"373";8.26725;8.88;24;666;TRUE
"374";11.1081;34.77;24;666;TRUE
"375";18.4982;37.97;24;666;TRUE
"376";19.6091;13.44;24;666;TRUE
"377";15.288;23.24;24;666;TRUE
"378";9.82349;21.24;24;666;TRUE
"379";23.6482;23.69;24;666;TRUE
"380";17.8667;21.78;24;666;TRUE
"381";88.9762;17.21;24;666;TRUE
"382";15.8744;21.08;24;666;TRUE
"383";9.18702;23.6;24;666;TRUE
"384";7.99248;24.56;24;666;TRUE
"385";20.0849;30.63;24;666;TRUE
"386";16.8118;30.81;24;666;TRUE
"387";24.3938;28.28;24;666;TRUE
"388";22.5971;31.99;24;666;TRUE
"389";14.3337;30.62;24;666;TRUE
"390";8.15174;20.85;24;666;TRUE
"391";6.96215;17.11;24;666;TRUE
"392";5.29305;18.76;24;666;TRUE
"393";11.5779;25.68;24;666;TRUE
"394";8.64476;15.17;24;666;TRUE
"395";13.3598;16.35;24;666;TRUE
"396";8.71675;17.12;24;666;TRUE
"397";5.87205;19.37;24;666;TRUE
"398";7.67202;19.92;24;666;TRUE
"399";38.3518;30.59;24;666;TRUE
"400";9.91655;29.97;24;666;TRUE
"401";25.0461;26.77;24;666;TRUE
"402";14.2362;20.32;24;666;TRUE
"403";9.59571;20.31;24;666;TRUE
"404";24.8017;19.77;24;666;TRUE
"405";41.5292;27.38;24;666;TRUE
"406";67.9208;22.98;24;666;TRUE
"407";20.7162;23.34;24;666;TRUE
"408";11.9511;12.13;24;666;TRUE
"409";7.40389;26.4;24;666;TRUE
"410";14.4383;19.78;24;666;TRUE
"411";51.1358;10.11;24;666;TRUE
"412";14.0507;21.22;24;666;TRUE
"413";18.811;34.37;24;666;TRUE
"414";28.6558;20.08;24;666;TRUE
"415";45.7461;36.98;24;666;TRUE
"416";18.0846;29.05;24;666;TRUE
"417";10.8342;25.79;24;666;TRUE
"418";25.9406;26.64;24;666;TRUE
"419";73.5341;20.62;24;666;TRUE
"420";11.8123;22.74;24;666;TRUE
"421";11.0874;15.02;24;666;TRUE
"422";7.02259;15.7;24;666;TRUE
"423";12.0482;14.1;24;666;TRUE
"424";7.05042;23.29;24;666;TRUE
"425";8.79212;17.16;24;666;TRUE
"426";15.8603;24.39;24;666;TRUE
"427";12.2472;15.69;24;666;TRUE
"428";37.6619;14.52;24;666;TRUE
"429";7.36711;21.52;24;666;TRUE
"430";9.33889;24.08;24;666;TRUE
"431";8.49213;17.64;24;666;TRUE
"432";10.0623;19.69;24;666;TRUE
"433";6.44405;12.03;24;666;TRUE
"434";5.58107;16.22;24;666;TRUE
"435";13.9134;15.17;24;666;TRUE
"436";11.1604;23.27;24;666;TRUE
"437";14.4208;18.05;24;666;TRUE
"438";15.1772;26.45;24;666;TRUE
"439";13.6781;34.02;24;666;TRUE
"440";9.39063;22.88;24;666;TRUE
"441";22.0511;22.11;24;666;TRUE
"442";9.72418;19.52;24;666;TRUE
"443";5.66637;16.59;24;666;TRUE
"444";9.96654;18.85;24;666;TRUE
"445";12.8023;23.79;24;666;TRUE
"446";10.6718;23.98;24;666;TRUE
"447";6.28807;17.79;24;666;TRUE
"448";9.92485;16.44;24;666;TRUE
"449";9.32909;18.13;24;666;TRUE
"450";7.52601;19.31;24;666;TRUE
"451";6.71772;17.44;24;666;TRUE
"452";5.44114;17.73;24;666;TRUE
"453";5.09017;17.27;24;666;TRUE
"454";8.24809;16.74;24;666;TRUE
"455";9.51363;18.71;24;666;TRUE
"456";4.75237;18.13;24;666;TRUE
"457";4.66883;19.01;24;666;TRUE
"458";8.20058;16.94;24;666;TRUE
"459";7.75223;16.23;24;666;TRUE
"460";6.80117;14.7;24;666;TRUE
"461";4.81213;16.42;24;666;TRUE
"462";3.69311;14.65;24;666;TRUE
"463";6.65492;13.99;24;666;TRUE
"464";5.82115;10.29;24;666;TRUE
"465";7.83932;13.22;24;666;TRUE
"466";3.1636;14.13;24;666;TRUE
"467";3.77498;17.15;24;666;TRUE
"468";4.42228;21.32;24;666;TRUE
"469";15.5757;18.13;24;666;TRUE
"470";13.0751;14.76;24;666;TRUE
"471";4.34879;16.29;24;666;TRUE
"472";4.03841;12.87;24;666;TRUE
"473";3.56868;14.36;24;666;TRUE
"474";4.64689;11.66;24;666;TRUE
"475";8.05579;18.14;24;666;TRUE
"476";6.39312;24.1;24;666;TRUE
"477";4.87141;18.68;24;666;TRUE
"478";15.0234;24.91;24;666;TRUE
"479";10.233;18.03;24;666;TRUE
"480";14.3337;13.11;24;666;TRUE
"481";5.82401;10.74;24;666;TRUE
"482";5.70818;7.74;24;666;TRUE
"483";5.73116;7.01;24;666;TRUE
"484";2.81838;10.42;24;666;TRUE
"485";2.37857;13.34;24;666;TRUE
"486";3.67367;10.58;24;666;TRUE
"487";5.69175;14.98;24;666;TRUE
"488";4.83567;11.45;24;666;TRUE
"489";0.15086;18.06;4;711;FALSE
"490";0.18337;23.97;4;711;FALSE
"491";0.20746;29.68;4;711;FALSE
"492";0.10574;18.07;4;711;FALSE
"493";0.11132;13.35;4;711;FALSE
"494";0.17331;12.01;6;391;FALSE
"495";0.27957;13.59;6;391;FALSE
"496";0.17899;17.6;6;391;FALSE
"497";0.2896;21.14;6;391;FALSE
"498";0.26838;14.1;6;391;FALSE
"499";0.23912;12.92;6;391;FALSE
"500";0.17783;15.1;6;391;FALSE
"501";0.22438;14.33;6;391;FALSE
"502";0.06263;9.67;1;273;FALSE
"503";0.04527;9.08;1;273;FALSE
"504";0.06076;5.64;1;273;FALSE
"505";0.10959;6.48;1;273;FALSE
"506";0.04741;7.88;1;273;FALSE
